TFA,SUS_OVERALL,SUS_TFA
totp,97.5,92.5
totp,92.5,90.0
totp,77.5,60.0
totp,90.0,87.5
totp,85.0,80.0
printed,82.5,55.0
push,92.5,85.0
sms,82.5,72.5
totp,85.0,95.0
printed,87.5,62.5
sms,82.5,80.0
totp,100.0,92.5
totp,95.0,75.0
sms,67.5,65.0
totp,92.5,60.0
push,95.0,100.0
totp,95.0,97.5
password,82.5,82.5
push,80.0,82.5
push,77.5,67.5
printed,95.0,97.5
push,95.0,92.5
sms,77.5,77.5
sms,92.5,82.5
push,95.0,92.5
push,100.0,100.0
push,80.0,72.5
sms,67.5,67.5
printed,77.5,75.0
push,87.5,72.5
printed,90.0,77.5
push,75.0,75.0
u2f,85.0,75.0
totp,75.0,75.0
u2f,90.0,95.0
sms,87.5,87.5
u2f,72.5,65.0
u2f,80.0,75.0
printed,85.0,75.0
u2f,100.0,100.0
sms,80.0,67.5
totp,85.0,92.5
u2f,85.0,32.5
push,92.5,80.0
sms,87.5,75.0
printed,92.5,90.0
sms,82.5,80.0
printed,80.0,80.0
u2f,95.0,92.5
u2f,55.0,65.0
password,85.0,90.0
printed,92.5,90.0
password,92.5,95.0
password,77.5,85.0
password,100.0,97.5
password,92.5,100.0
u2f,100.0,100.0
sms,87.5,70.0
password,80.0,80.0
printed,82.5,85.0
u2f,60.0,52.5
u2f,90.0,90.0
printed,100.0,95.0
password,100.0,100.0
password,87.5,90.0
push,72.5,52.5
password,90.0,97.5
u2f,37.5,35.0
password,95.0,100.0
